customer_id,name,gender,occupation,birthdate,salary
663495,Amanda Castillo,F,Regulatory affairs officer,1992-09-04,297047.48
814756,Kevin White,M,Copy,1924-05-04,349456.93
152898,Caleb Santos,M,Pathologist,1974-02-02,357057.32
884663,David Meyer,M,Community arts worker,1939-01-29,391133.0
403801,Michael Mcmahon,M,"Producer, radio",1978-06-09,56683.05
951415,Olivia Davis,F,Geochemist,1958-09-20,79999.45
658446,Steven Powell DDS,M,Sports development officer,1980-08-14,138614.17
851462,Barbara Mccann,F,"Loss adjuster, chartered",1936-06-22,304590.41
522920,Carlos Taylor,M,"Conservator, museum/gallery",1911-12-30,85021.44
957285,Jeffery Hanson,M,Risk analyst,1932-04-17,210899.26
521080,Joshua Johnson,M,"Journalist, newspaper",1992-05-11,157677.33
313397,Caitlyn Moore,F,Garment/textile technologist,1910-12-17,418123.84
666398,Brittany Medina,F,Special educational needs teacher,1930-09-06,47742.96
892233,Lee Brown,M,Therapeutic radiographer,1947-02-09,181038.87
201091,Angela Yang,F,Illustrator,1963-01-17,303677.98
781787,Rebecca Thornton,F,Purchasing manager,2005-12-27,269451.13
699540,Catherine Rangel,F,Theme park manager,1910-06-10,67734.23
382683,Sandra Hernandez,F,Immunologist,1917-03-27,270081.1
892961,William Williams,M,Public relations account executive,1973-12-06,86504.78
478350,Ashley Blackwell,F,Proofreader,1983-06-14,42439.4
115599,Jeremiah Young,M,"Surveyor, land/geomatics",1948-03-18,251687.31
298414,Mr. Joshua Bailey,M,Mining engineer,1996-02-03,277096.0
659994,Chad Nelson,M,Senior tax professional/tax inspector,1998-05-28,318659.21
239678,Tracy Santiago,F,Stage manager,2014-04-25,38046.82
319916,Jason Wall,M,Further education lecturer,1926-12-10,272928.88
528246,Katherine Maxwell,F,Exercise physiologist,1915-01-08,130254.52
811966,Tyler Snyder,M,Nature conservation officer,1964-02-13,150075.66
979082,Ian Moore,M,Paediatric nurse,1916-07-17,180402.99
680408,Tammy Garcia,F,Public relations account executive,1993-12-26,382993.38
213706,Kevin Estrada,M,"Presenter, broadcasting",1969-05-22,316479.67
401571,Terry Obrien,M,Oncologist,1960-10-13,390368.91
675575,Jacqueline Lewis,F,"Engineer, communications",1954-08-28,118282.5
527047,Catherine Perez DVM,F,Information systems manager,1952-04-15,280064.48
808188,Alex Nguyen,M,"Scientist, forensic",2020-08-10,139241.72
349635,Stephanie Bryant,F,Architect,1993-11-11,207495.53
755952,Nathan Jenkins,M,Early years teacher,2002-03-23,285408.74
905354,Mary Vance,F,Musician,1997-05-05,139601.62
564628,Krista Giles,F,Civil Service administrator,1921-06-26,81052.91
150324,Dr. Jake Bentley,M,"Librarian, public",1921-07-13,201051.11
616470,Barry Hart,M,Sports administrator,1927-11-30,286403.13
790143,Jennifer Hall,F,Furniture designer,1918-03-01,281270.41
585197,Corey Watkins,M,Animal technologist,1908-04-22,394828.62
964470,Anthony Garcia,M,Archivist,1983-03-18,189106.27
758871,Kathleen Ellison MD,F,Facilities manager,1937-08-21,266213.71
694967,Patricia Lewis,F,Speech and language therapist,1955-12-05,143528.65
709656,Dalton Buck,M,Civil Service fast streamer,1989-08-18,200483.94
345176,Martha Walker,F,Bookseller,1997-12-14,363540.0
294492,Katherine Jones,F,Chiropractor,1915-03-05,399451.12
646797,Samuel Padilla DDS,M,Patent examiner,1935-01-16,142150.55
159411,Wendy Ferguson,F,"Engineer, structural",2008-09-28,404536.86
142760,Annette Burton,F,"Administrator, education",1938-12-19,158166.65
309412,Crystal Chavez,F,"Scientist, research (life sciences)",2014-11-13,259514.49
525153,Alexander Gross,M,Passenger transport manager,2009-04-30,353075.43
581392,Clarence Ramos,M,Hospital doctor,1923-08-19,359147.97
253276,Karen Lee,F,Aid worker,1995-01-05,50884.3
855158,William Harmon,M,Legal secretary,1951-02-20,404991.64
615177,Amanda Silva,F,"Merchandiser, retail",1960-10-08,132417.35
583007,Timothy Fry,M,"Accountant, chartered",1987-07-19,250432.92
742708,Angela Kelly,F,Aid worker,1932-12-25,118173.62
929789,Kelly Bush,F,Film/video editor,2001-05-18,280301.12
304896,Jeffrey Luna,M,Sport and exercise psychologist,1944-10-18,55469.28
291136,Gregory Taylor,M,Technical brewer,2001-01-29,380037.83
480101,Paul Ward,M,"Designer, exhibition/display",2006-10-20,180594.46
188559,Victoria Little,F,Phytotherapist,1973-01-28,153391.13
620914,Miranda Lane,F,Art therapist,1912-09-21,180139.18
350138,Samantha Blackwell,F,Advertising art director,1958-02-04,144983.88
423875,Suzanne Smith,F,Police officer,1969-05-21,181771.87
693719,Andrea Simpson,F,"Accountant, chartered management",1986-03-02,70501.97
785194,Carla Moore,F,Pension scheme manager,1945-09-05,159875.32
211287,Angela Gonzalez,F,"Nurse, children's",2018-05-30,366579.98
846877,Christopher Wood,M,Operational investment banker,1961-07-11,390080.66
919255,Amber Miller,F,Contracting civil engineer,1923-01-03,129607.75
853630,Kaitlyn Grant,F,"Therapist, speech and language",1941-12-21,388941.0
930259,Donald Hoffman,M,Psychotherapist,1964-11-23,136720.51
416615,Brian Rich,M,Commercial/residential surveyor,1965-12-06,79055.29
402616,Jacob Riley,M,Visual merchandiser,1934-12-15,187042.91
722505,Sarah Howard,F,Ranger/warden,1927-12-19,323889.51
797021,Caitlin Woodward,F,"Buyer, retail",2012-04-29,69124.46
221963,Michael West,M,Chartered accountant,1924-12-04,95828.48
730721,Sharon Shields,F,Recycling officer,2002-10-10,251317.89
380741,Gary Jacobs,M,"Therapist, sports",1965-09-13,355090.86
880410,Zachary Summers,M,"Scientist, research (maths)",1946-02-28,144930.13
544234,Christopher Nixon,M,Administrator,1912-11-19,104074.27
807076,Faith Rivera,F,Geophysical data processor,1929-06-21,290085.87
574650,John Jacobson,M,Psychiatric nurse,1924-11-21,409623.07
952276,Bryan Murphy,M,"Therapist, speech and language",1946-12-10,230160.14
415703,Bryan Brooks,M,Product designer,1924-06-08,318900.82
387203,Nancy Williams,F,"Designer, blown glass/stained glass",1959-03-12,248864.93
997901,Daniel Willis,M,Community arts worker,1932-12-03,102279.55
474482,Elizabeth Hill,F,"Secretary, company",1916-07-03,159802.37
174174,Nicholas Marsh,M,Market researcher,1910-07-03,109604.79
208477,Rachel Turner,F,"Designer, textile",1925-06-01,400225.61
994239,Lynn Scott,F,Technical author,2003-05-18,158111.13
182094,Kirk Garcia,M,Network engineer,1939-12-03,71527.33
572769,Julia Nash,F,"Designer, interior/spatial",1980-05-24,310301.91
802246,Diana Prince,F,Financial controller,1946-11-10,338169.46
598441,Jamie Allen,F,Catering manager,1989-04-01,206152.32
157542,Julie Bruce,F,"Psychologist, educational",1939-07-11,280736.98
141762,Danielle Higgins,F,"Therapist, sports",1990-09-24,242184.98
487038,Brian Torres,M,Herpetologist,1937-08-07,314129.02
642969,Lisa Smith,F,"Scientist, marine",2011-12-19,210089.76
552342,Jeffrey Bowman,M,Textile designer,1920-12-20,221260.1
589754,Hunter Pratt,M,Herpetologist,1957-09-29,164941.22
997267,Charlene Bryan,F,Medical illustrator,1964-11-02,419296.11
637587,Brandi Ford,F,Archaeologist,1913-01-19,194605.68
966057,Jeremy Perry,M,"Merchandiser, retail",2014-06-04,363012.69
771991,James Ellis,M,Theatre director,1964-08-27,376779.05
499006,Jason Kelly,M,Financial controller,1935-10-13,92845.49
766807,Katrina Moreno,F,Management consultant,1932-09-04,143419.67
398828,John Dunn,M,Therapeutic radiographer,1979-06-16,77248.81
878380,Michael Richardson,M,Operational researcher,1992-05-30,370268.19
392648,Candace Walsh,F,Marine scientist,1950-02-15,267858.94
765254,Joseph Kaiser,M,Actor,1943-05-05,268633.61
287877,Amanda Stewart,F,Fitness centre manager,1938-04-22,324572.61
529299,Courtney Morales,F,"Scientist, research (medical)",1951-12-10,389625.43
506684,Kurt Stanley,M,Graphic designer,1992-01-09,103147.89
166757,Sarah Austin,F,Health and safety inspector,1923-03-08,371481.11
164284,Christopher Sanchez,M,Homeopath,1989-12-17,147599.45
664934,Jennifer Hays,F,"Designer, fashion/clothing",1937-03-26,108227.08
592716,Mary White,F,Regulatory affairs officer,1938-03-01,207813.2
610270,Robert Davis,M,Ergonomist,1918-07-01,372008.54
288803,Robert Spencer,M,Industrial buyer,1954-11-21,419196.0
433178,Sarah Brady,F,Veterinary surgeon,1963-05-16,355528.7
386749,Laura Phillips,F,"Engineer, water",1943-01-29,232202.83
529038,Patricia Chapman,F,Orthoptist,1935-09-12,280145.45
677812,Nicole Warner,F,Media planner,1919-11-18,93044.83
402697,Daniel Phillips,M,"Research officer, government",2011-03-04,201245.52
158023,Roger Ray,M,Production engineer,2008-04-02,221649.42
309264,Sarah Owens,F,Investment analyst,1998-11-09,135044.95
734530,Michelle Rice,F,Research scientist (life sciences),1978-01-07,201855.12
509999,Dillon Jackson,M,Contractor,1972-08-17,286507.98
111441,Jeffrey Rice,M,"Development worker, international aid",1942-01-15,215957.19
797259,David Mcclure,M,Osteopath,1987-12-12,77454.84
576637,Theodore Brown,M,Physiotherapist,1933-09-14,251837.32
319438,Christopher Rodriguez,M,Horticultural therapist,1976-10-08,258338.49
164141,Nicole Rowe,F,Paramedic,1981-02-18,373095.99
393699,Lauren Brown,F,"Librarian, public",1982-08-13,142948.03
117749,Faith Young,F,Equities trader,2008-09-13,123331.5
129565,Joseph Morales,M,"Teacher, secondary school",1926-12-25,44121.05
582574,John Calderon,M,Research scientist (life sciences),1935-11-20,37827.08
327625,Robert Hampton,M,Research scientist (physical sciences),2020-01-26,169983.32
828737,Kenneth Randolph,M,Early years teacher,2006-05-04,177426.86
739219,David Merritt,M,"Clinical scientist, histocompatibility and immunogenetics",1989-01-01,192053.09
270933,Ashley Wagner,F,Government social research officer,2018-03-02,254820.06
622425,Jason Chen,M,IT consultant,1970-09-01,275880.36
754373,Veronica Tucker,F,"Accountant, chartered",2009-12-06,404050.31
906648,Jason Gray,M,"Buyer, industrial",1946-06-15,83847.38
882493,Elizabeth Leach,F,Medical secretary,1927-09-09,90343.68
526665,Karl Doyle,M,Forensic scientist,1937-12-28,203015.11
692685,Brenda Mcintosh,F,Quarry manager,1968-01-18,52225.9
556393,Corey Clark,M,Horticultural therapist,1942-11-15,57722.9
265723,Morgan Brown,F,"Doctor, general practice",2002-07-28,318209.15
525256,Vicki Hart,F,Dentist,1987-06-11,32574.47
404145,Cory Adams,M,"Therapist, music",1937-07-20,211562.17
449755,Daniel Lee,M,Leisure centre manager,2008-07-04,415537.39
217378,Dr. Margaret Norman,F,Careers adviser,1913-04-30,97828.37
168218,Stephen Matthews,M,IT trainer,2014-12-18,51231.22
964600,Steve Turner,M,Radiation protection practitioner,1989-11-16,181304.32
933615,Paul Hunt,M,"Engineer, broadcasting (operations)",1970-03-30,108165.85
501324,Alexandra Taylor,F,"Programmer, applications",1956-08-04,192455.65
495662,David Heath,M,Film/video editor,1908-09-11,181755.03
749697,Mark Brooks,M,Clothing/textile technologist,1920-09-17,106603.97
383914,Travis Henderson,M,Clinical embryologist,1981-05-09,396457.79
307359,Lauren Smith,F,Psychiatrist,1951-10-19,392894.31
815156,Jessica Chang,F,Make,1980-04-10,173796.62
165486,Victoria Brown,F,"Teacher, secondary school",1989-02-15,357540.55
306842,John Duran,M,Learning disability nurse,1997-11-17,274260.91
720653,Mary Anderson,F,Games developer,2012-07-08,399409.9
435015,Heather Weaver,F,Fitness centre manager,1909-01-03,345205.89
718010,Rachel Hodges,F,Clinical biochemist,2009-08-14,43409.78
595322,Katherine Franco,F,Multimedia specialist,1936-07-06,78845.47
271070,Shelby Smith,F,Visual merchandiser,1930-10-25,379227.96
233802,Noah Higgins,M,Newspaper journalist,1966-01-27,80138.25
302318,Craig Romero,M,"Surveyor, quantity",2000-01-27,411161.7
761505,Allison Schmidt,F,"Scientist, water quality",1997-04-30,123054.18
816309,Timothy Thomas,M,Civil Service fast streamer,1958-08-15,224738.96
238221,Amy Diaz,F,"Psychologist, occupational",1926-10-21,299621.1
415403,Gary Gomez,M,Acupuncturist,1926-01-30,197909.88
872226,Dr. Mackenzie Mendez,F,"Accountant, chartered",1973-07-12,248500.97
779364,Jennifer King,F,Biomedical scientist,1987-10-02,101937.49
705103,Jessica Wood,F,Communications engineer,1908-07-09,381356.2
483662,Laura Black,F,Environmental manager,2015-05-20,215001.49
894626,Luis Williams,M,Archivist,1928-07-14,107194.19
257474,Lonnie Carrillo,M,Hospital pharmacist,1930-10-19,90684.05
614141,Kristina Gonzales,F,Air cabin crew,1945-04-20,366858.45
805336,John Cox,M,"Engineer, electrical",1944-08-29,134518.84
139570,James Carroll,M,Animator,1958-05-24,266314.59
787727,Jonathan Park,M,Special educational needs teacher,1967-10-26,227993.71
520842,Jesus Lang,M,Freight forwarder,1909-10-29,123825.65
309914,Brady Morrison,M,Hospital pharmacist,1992-08-02,140007.37
750059,Veronica Holloway,F,"Doctor, hospital",1933-12-20,336792.54
744189,Daniel Howell,M,Catering manager,1927-05-09,246916.01
704707,Daniel Carlson,M,Energy engineer,1972-02-06,42643.84
486852,Sara George,F,"Librarian, academic",1985-07-22,114225.52
485145,Rachel Davis,F,Garment/textile technologist,1917-01-30,314845.81
647746,Brenda West,F,Legal executive,1964-07-25,417535.98
629200,Karen Bishop,F,Metallurgist,1997-04-02,271816.49
411465,Carrie Gomez,F,Psychiatric nurse,1971-06-11,180603.95
464895,Annette Richardson,F,Historic buildings inspector/conservation officer,1932-10-26,219150.12
884461,Candace Hughes,F,Firefighter,1933-07-01,146624.65
761725,Maurice Evans,M,Accommodation manager,2016-10-16,247988.02
942847,Renee Hoover,F,Printmaker,1996-12-10,195273.11
408197,Rebecca Hendricks,F,"Radiographer, diagnostic",2009-10-07,183591.51
204756,Madison Smith,F,Actor,1977-11-23,230303.9
742462,Travis Solomon,M,Retail merchandiser,1991-09-17,38209.49
813446,Sarah Cuevas,F,Orthoptist,1998-06-21,198923.18
865944,Ronnie Hurley,M,Therapeutic radiographer,1994-07-09,393545.5
985328,Phillip Schneider,M,Chartered legal executive (England and Wales),1960-11-18,248303.54
636049,Rodney Williams,M,Arboriculturist,1925-05-20,158519.12
712702,Tamara Robinson,F,"Surveyor, minerals",1976-09-08,276130.15
478644,Steven Harris,M,Immunologist,1965-05-13,412181.34
403606,Kenneth Kramer,M,Hotel manager,1984-01-01,92853.08
316764,Julia Allen,F,Sports administrator,1973-09-13,290315.3
372481,Nicole Sellers,F,Social researcher,1962-03-31,181023.43
517363,Jessica Bowman,F,Ranger/warden,2016-06-07,218866.98
571252,Lori Hutchinson,F,"Administrator, sports",1963-12-15,389167.47
939954,Richard Simmons,M,Magazine features editor,1913-03-15,85729.05
913454,Dr. Victoria Brown,F,"Scientist, research (maths)",2015-04-20,88325.37
265572,Anthony Mathews,M,Banker,1918-04-18,412630.97
698158,Deanna Avery,F,Research scientist (physical sciences),1989-03-14,324856.98
413232,Joanna Bell,F,Structural engineer,2008-09-04,339381.41
309016,Haley Ray,F,"Scientist, research (medical)",1988-08-06,345014.38
438377,Danielle Becker DDS,F,Press sub,1925-06-06,191637.56
576061,William Smith,M,Fast food restaurant manager,1963-08-22,146310.69
962026,Megan Norris,F,Intelligence analyst,1965-04-25,104571.27
377797,Joshua Davis,M,Dance movement psychotherapist,1941-01-10,222474.09
923915,Rachel Stevens,F,Commercial horticulturist,1967-07-16,123196.07
525252,Thomas Whitney,M,Sports therapist,1983-03-24,263369.91
933997,Fred Hoffman,M,Geophysical data processor,1933-05-05,174251.13
485882,Matthew Stone,M,Petroleum engineer,2008-12-08,95919.73
278514,Henry Hart,M,Herbalist,1988-03-12,410095.15
179954,Robert West,M,Oncologist,1913-07-08,281655.11
177868,Cindy Johnson,F,"Restaurant manager, fast food",1979-02-09,38368.63
826401,George Hill,M,"Radiographer, therapeutic",1928-08-15,254885.42
698825,Andrew Robinson,M,Medical physicist,1926-02-02,276685.47
567057,Brandon Day,M,Medical laboratory scientific officer,1937-01-21,194925.39
572965,Amy Gardner,F,Warden/ranger,1973-09-18,280297.97
838317,James Sanchez,M,Newspaper journalist,1948-03-23,143226.43
994894,Jenny Preston,F,Commercial horticulturist,2003-04-24,112388.21
742880,Jeffery Johnson,M,"Psychologist, forensic",1955-07-08,130244.52
189646,Victor Weber,M,Materials engineer,1955-03-28,312379.91
857111,Melissa Gibson,F,Occupational psychologist,1991-06-09,324987.05
909679,Becky Jackson MD,F,Exercise physiologist,1952-03-11,346276.16
955329,Michelle Peters,F,"Designer, ceramics/pottery",1970-07-09,381715.75
904390,Patrick Baxter,M,"Teacher, secondary school",1925-01-13,87398.61
858075,Philip Thompson,M,"Nurse, children's",1953-04-25,410994.01
132036,Kenneth Henderson,M,Youth worker,2011-08-26,210848.59
798435,Casey Valdez,M,Seismic interpreter,1938-09-23,368838.45
272987,Daniel Bass,M,Animal technologist,1970-06-21,374794.56
531296,Shannon Williams,M,"Development worker, international aid",1922-11-14,309861.41
725553,William Burch,M,"Engineer, electrical",1916-08-12,250804.42
479197,Andrew Barr,M,Advertising account executive,1909-08-01,411128.93
730367,John Bennett,M,Software engineer,1986-06-05,162226.49
447095,Kenneth Johnson,M,Tax adviser,1910-11-06,54283.37
312466,Scott Avila,M,Fitness centre manager,1932-11-29,321887.4
699079,Grant Munoz,M,"Therapist, music",2006-12-28,393676.19
719704,Patricia Matthews,F,"Nurse, adult",1920-10-10,196529.11
957174,Matthew Crane,M,Heritage manager,1915-01-24,340540.47
519166,Andrew Novak,M,Retail banker,1985-05-04,57954.04
610559,Christina Long,F,Public affairs consultant,1939-06-06,209777.96
782398,Corey Nelson,M,Risk manager,2013-08-26,323910.63
589649,Amanda Moore,F,"Biochemist, clinical",1991-06-24,308709.52
184028,Richard Hernandez,M,"Psychologist, clinical",2013-11-04,116346.43
183231,Donna Harris,F,Market researcher,1934-01-30,118824.71
188674,Jon Bates,M,Manufacturing systems engineer,1949-02-10,115928.28
395255,Amber Mejia,F,Gaffer,1960-08-29,100641.1
141087,Kevin Spencer,M,"Geneticist, molecular",1988-12-30,81494.82
557955,Jamie Lambert,M,Dietitian,1979-02-18,376419.57
550357,Heidi Clark,F,Database administrator,1928-08-25,327152.61
197947,Matthew Sharp,M,"Biochemist, clinical",1928-09-20,32697.22
536974,Morgan Brooks,F,Fast food restaurant manager,1995-08-27,401070.55
340696,Kayla Burke,F,"Engineer, maintenance",2002-11-19,93544.46
287843,Timothy Benson,M,"Journalist, broadcasting",1947-04-14,192143.09
839850,Grant Davis,M,Metallurgist,1945-05-13,64988.71
442814,Gina Colon,F,Land/geomatics surveyor,1950-01-11,298445.03
932251,Rebecca Jacobson,F,Archaeologist,2011-05-14,293271.77
968981,Jessica Rios,F,Personnel officer,1996-05-21,377116.91
